Medicine Name, Quantity, Chemical Name, Compnay Name, Unit Price
I-Fol Plus,200 mg+400 mcg,Ferrous Fumerate + Folic acid,Indo Bangla Pharmaceutical,Unit Price : ৳ 0.35
I-Gold,,Vitamin C| Vitamin E| Lutein| Copper & Zinc,Aristopharma Ltd.,Unit Price : ৳ 10.00
I-Guard,0.5%,Chloramphenicol,Incepta Pharmaceuticals Limited,10 ml drop : ৳ 34.37
I-Penam,500 mg/vial,Meropenem Trihydrate,Incepta Pharmaceuticals Limited,500 mg vial : ৳ 700.00
I-Penam,1 gm/vial,Meropenem Trihydrate,Incepta Pharmaceuticals Limited,1 gm vial : ৳ 1,300.00
I-Pill,0.75 mg,Levonorgestrel,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 25.80
I-Pill DS,1.5 mg,Levonorgestrel,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 68.56
I-Proton,20 mg,Omeprazole,Doctor TIMS Pharmaceuticals Ltd.,Price not available
I-Splone,5 mg,Prednisolone (Oral / Injection),Indo Bangla Pharmaceutical,Price not available
I-Vita,,Vitamin C| Vitamin E| Lutein| Copper & Zinc,Opsonin Pharma Limited,Unit Price : ৳ 10.01
I-Zam,10 mg,Clobazam,Indo Bangla Pharmaceutical,Price not available
I-Zol,100 mg,Itraconazole,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
IB Oral Saline,13.95 gm,Oral Rehydration Salt (Powder),Indo Bangla Pharmaceutical,Unit Price : ৳ 3.20
Ibancal kit,150 mg & 400 mg,Ibandronic Acid & Calcium Orotate,General Pharmaceuticals Ltd.,One kit : ৳ 990.00
Ibandron,150 mg,Ibandronic Acid,Aristopharma Ltd.,Unit Price : ৳ 1,200.00
Ibanova,150 mg,Ibandronic Acid,Pharmacil Limited,Price not available
Iben,400 mg,Ibuprofen,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 1.30
Iben,400 mg,Ibuprofen,Central Pharmaceuticals Ltd (CPL),Unit Price : ৳ 1.20
Ibf,400 mg,Ibuprofen,Decent Pharma Laboratories Ltd.,Unit Price : ৳ 1.25
Ibrucent,140 mg,Ibrutinib,Incepta Pharmaceuticals Limited,Unit Price : ৳ 574.95
Ibrunib,140 mg,Ibrutinib,Julphar Bangladesh Ltd.,Price Unavailable
Ibrutinix,140 mg,Ibrutinib,Everest Pharmaceuticals Ltd.,Price not available
Ibrutix,140 mg,Ibrutinib,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 1,326.00
Ibsan,75 mg,Irbesartan,Acme Laboratories Limited,Unit Price : ৳ 5.00
Ibsan,150 mg,Irbesartan,Acme Laboratories Limited,Unit Price : ৳ 10.00
Ibspa,10 mg,Dicycloverine Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
Ibuaid,400 mg,Ibuprofen,Marksman Pharmaceuticals Ltd.,Unit Price : ৳ 1.40
Ibuflam,400 mg,Ibuprofen,Apollo Pharmaceutical Laboratories Ltd.,Unit Price : ৳ 1.11
Ibupro,400 mg,Ibuprofen,Crystal Pharmaceuticals Ltd.,Price not available
Ibuprofen,400 mg,Ibuprofen,Amico Laboratories Ltd.,Unit Price : ৳ 1.43
Ibuprofen,200 mg,Ibuprofen,Essential Drugs Company Ltd.,Price not available
Ibuprofen,400 mg,Ibuprofen,Essential Drugs Company Ltd.,Unit Price : ৳ 1.32
Iburex,200 mg,Ibuprofen,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
Iburex,400 mg,Ibuprofen,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 1.20
Icaft,0.25%,Alcaftadine,Navana Pharmaceuticals Limited,5 ml drop : ৳ 400.00
Icid,10%,Sulfacetamide sodium,Nipa Pharmaceuticals Ltd.,10 ml drop : ৳ 19.22
Icid,20%,Sulfacetamide sodium,Nipa Pharmaceuticals Ltd.,10 ml drop : ৳ 27.00
Iclazid,80 mg,Gliclazide,Oyster Pharmaceuticals Ltd.,Price not available
Iclear,0.3%,Hydroxypropyl Methyl Cellulose,Navana Pharmaceuticals Limited,10 ml drop : ৳ 69.97
Icol,0.5%,Chloramphenicol,ACI Limited,10 ml drop : ৳ 34.50
Iconal,100 mg,Itraconazole,Kemiko Pharmaceuticals Ltd.,Unit Price : ৳ 15.04
Icrom,2%,Sodium Cromoglicate 2% (Eye/Nasal),ACI Limited,10 ml drop : ৳ 65.25
Icykool,15%+10%,Methyl Salicylate + Menthol,Beximco Pharmaceuticals Ltd.,25 gm tube : ৳ 40.00
Icykool Max,30%+8%,Methyl Salicylate + Menthol,Beximco Pharmaceuticals Ltd.,25 gm tube : ৳ 65.00
Idatix,2.5 mg,Indapamide,Incepta Pharmaceuticals Limited,Unit Price : ৳ 5.00
Idatix SR,1.5 mg,Indapamide,Incepta Pharmaceuticals Limited,Unit Price : ৳ 5.00
Idol,7.5 mg,Midazolam,Hallmark Pharmaceuticals Ltd.,Price not available
Idrofos Kit,150 mg,Ibandronic Acid,Sun Pharmaceutical (Bangladesh) Limited,30 tablet kit : ৳ 645.00
Ifa TR,150 mg+0.5 mg,Ferrous Sulphate + Folic Acid,Unimed Unihealth MFG. Ltd.,Price Unavailable
Ifamide & Mesna,1 gm & 800 mg,Ifosfamide,Techno Drugs Ltd.,1 gm Ifamide & 800 mg Mesna : ৳ 1,850.00
Ifamide & Mesna,2 gm & 1600 mg,Ifosfamide,Techno Drugs Ltd.,2 gm Ifamide & 1600 mg Mesna : ৳ 3,255.00
Ifel-TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulphate + Folic Acid + Zinc Sulphate,Pharmadesh Laboratories Ltd.,Unit Price : ৳ 2.90
Ifen,400 mg,Ibuprofen,Cosmic Pharma Limited,Unit Price : ৳ 1.41
Ifomes,400 mg/4 ml,Mesna,Beacon Pharmaceuticals Ltd.,4 ml ampoule : ৳ 190.00
Ifozin-SR,150 mg+0.5 mg+61.8 mg,Ferrous Sulphate + Folic Acid + Zinc Sulphate,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 3.05
Igen,0.3 %,Gentamicin Sulphate (Eye/Ear Drops),ACI Limited,10 ml drop : ৳ 32.02
Ildiptin,50 mg,Vildagliptin,Pharmacil Limited,Price not available
Ilocin,500 mg,Erythromycin (Oral),Doctor’s Chemical Works Ltd.,Unit Price : ৳ 8.00
Ilocin,125 mg/5 ml,Erythromycin (Oral),Doctor’s Chemical Works Ltd.,100 ml bottle : ৳ 60.00
Ilodon,2 mg,Iloperidone,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
Ilodon,6 mg,Iloperidone,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
Ilozin,500 mg,Azithromycin,Doctor’s Chemical Works Ltd.,Unit Price : ৳ 30.00
Ilozin,200 mg/5 ml,Azithromycin,Doctor’s Chemical Works Ltd.,15 ml bottle : ৳ 85.00
Iluca,50 mg,Fluconazole,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
Iluca,150 mg,Fluconazole,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 22.99
Iluca,50 mg/5 ml,Fluconazole,Ibn-Sina Pharmaceuticals Ltd.,35 ml bottle : ৳ 78.05
Imacef,250 mg/2 ml,Ceftriaxone,General Pharmaceuticals Ltd.,250 mg vial : ৳ 90.60
Imacef,500 mg/2 ml,Ceftriaxone,General Pharmaceuticals Ltd.,500 mg vial : ৳ 130.00
Imacef,1 gm/3.5 ml,Ceftriaxone,General Pharmaceuticals Ltd.,1 gm vial : ৳ 190.00
Imacef,1 gm/10 ml,Ceftriaxone,General Pharmaceuticals Ltd.,1 gm vial : ৳ 190.00
Imacef,2 gm/20 ml,Ceftriaxone,General Pharmaceuticals Ltd.,2 gm vial : ৳ 302.04
Imacef,500 mg/5 ml,Ceftriaxone,General Pharmaceuticals Ltd.,500 mg vial : ৳ 120.81
Imacef,250 mg/5 ml,Ceftriaxone,General Pharmaceuticals Ltd.,250 mg vial : ৳ 89.91
Imanix,100 mg,Imatinib Mesylate,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 100.00
Imanix,400 mg,Imatinib Mesylate,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 320.00
Imatin,400 mg,Imatinib Mesylate,Techno Drugs Ltd.,Unit Price : ৳ 400.00
Imatin,100 mg,Imatinib Mesylate,Techno Drugs Ltd.,Unit Price : ৳ 100.00
Imax,20 mg,Esomeprazole,Delta Pharma Limited,Unit Price : ৳ 5.00
Imbac,(500 mg+500 mg)/vial,Imipenem + Cilastatin,Popular Pharmaceuticals Ltd.,500 mg vial : ৳ 1,199.51
Imet,25 mg,Indomethacin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 0.60
Imet SR,75 mg,Indomethacin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Imigra,10 mg,Flunarizine,Navana Pharmaceuticals Limited,Unit Price : ৳ 5.00
Imigra,5 mg,Flunarizine,Navana Pharmaceuticals Limited,Unit Price : ৳ 3.50
Imigra,5 mg,Flunarizine,Navana Pharmaceuticals Limited,Unit Price : ৳ 4.02
Imigra,10 mg,Flunarizine,Navana Pharmaceuticals Limited,Unit Price : ৳ 5.02
Iminem,(500 mg+500 mg)/vial,Imipenem + Cilastatin,ACI Limited,1 gm vial : ৳ 1,203.12
Iminem,(250 mg+250 mg)/vial,Imipenem + Cilastatin,ACI Limited,500 mg vial : ৳ 650.00
Iminod,5%,Imiquimod,Ziska Pharmaceuticals Limited,10 gm tube : ৳ 275.00
Imipen,(500 mg+500 mg)/vial,Imipenem + Cilastatin,Techno Drugs Ltd.,1 gm vial : ৳ 1,193.91
Imiro,350 mg/ml,Iohexol,Popular Pharmaceuticals Ltd.,50 ml bottle : ৳ 1,000.00
Immense,50 mg,Sildenafil Citrate,Biopharma Laboratories Ltd.,Unit Price : ৳ 24.99
IMMUNOHBs,180 IU/ml,Hepatitis b immune globulin (human),ZAS Corporation,180 IU vial : ৳ 5,430.00
Imnoc,25 mg,Imipramine,Unimed Unihealth MFG. Ltd.,Unit Price : ৳ 4.00
Imocard,20 mg,Isosorbide Mononitrate,Unimed Unihealth MFG. Ltd.,Price Unavailable
Imotil,2 mg,Loperamide,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
Imovane,7.5 mg,Zopiclone,Sanofi Bangladesh Limited,Unit Price : ৳ 10.03
Imped,5 mg,Amlodipine,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 3.50
Imped Plus,5 mg+25 mg,Amlodipine + Atenolol,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
Imped Plus,5 mg+50 mg,Amlodipine + Atenolol,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
Impedox,100 mg,Doxycycline,ACI Limited,Unit Price : ৳ 2.17
Impetet,250 mg,Oxytetracycline,ACI Limited,Price Unavailable
Impreja,30 mg,Dapoxetine Hydrochloride,Unimed Unihealth MFG. Ltd.,Unit Price : ৳ 30.00
Improcal,0.25 mcg,Calcitriol,Opsonin Pharma Limited,Unit Price : ৳ 7.03
Imucort,6 mg/5 ml,Deflazacort,Ziska Pharmaceuticals Limited,60 ml bottle : ৳ 200.00
Imucort,24 mg,Deflazacort,Ziska Pharmaceuticals Limited,Unit Price : ৳ 30.00
Imucort,6 mg,Deflazacort,Ziska Pharmaceuticals Limited,Unit Price : ৳ 8.00
Imunofen,1 mg/5 ml,Ketotifen Fumarate (Oral),Kumudini Pharma Ltd.,100 ml bottle : ৳ 50.00
Imuran,50 mg,Azathioprine,GlaxoSmithKline,Unit Price : ৳ 13.94
Inarom,0.09%,Bromfenac Sodium,Navana Pharmaceuticals Limited,5 ml drop : ৳ 100.30
Inarzin,15 mg,Cinnarizine,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 0.90
Inbuten,400 mg,Ceftibuten Dihydrate,Pharmacil Limited,Unit Price : ৳ 120.00
Inbuten,90 mg/5 ml,Ceftibuten Dihydrate,Pharmacil Limited,60 ml bottle : ৳ 480.00
Inbuten,400 mg,Ceftibuten Dihydrate,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 120.00
Inbuten,90 mg/5 ml,Ceftibuten Dihydrate,Radiant Pharmaceuticals Ltd.,60 ml bottle : ৳ 480.00
Incin,25 mg,Indomethacin,Everest Pharmaceuticals Ltd.,Price not available
Inclaud,100 mg,Cilostazol,ACI Limited,Unit Price : ৳ 11.18
Inclox,250 mg,Flucloxacillin Sodium,Incepta Pharmaceuticals Limited,Unit Price : ৳ 5.50
Inclox,500 mg,Flucloxacillin Sodium,Incepta Pharmaceuticals Limited,Unit Price : ৳ 10.00
Inco SR,1.5 mg,Indapamide,Albion Pharmaceuticals Ltd.,Unit Price : ৳ 10.39
Incotim,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Incepta Pharmaceuticals Limited,60 ml bottle : ৳ 20.00
Incotim,400 mg+80 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Incepta Pharmaceuticals Limited,Unit Price : ৳ 1.48
Incotim,800 mg+160 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Incepta Pharmaceuticals Limited,Unit Price : ৳ 1.50
Incrit,50 mg,Sitagliptin,Sanofi Bangladesh Limited,Unit Price : ৳ 18.05
Incrit,100 mg,Sitagliptin,Sanofi Bangladesh Limited,Unit Price : ৳ 30.09
Incrit-M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Sanofi Bangladesh Limited,Unit Price : ৳ 20.06
Incrit-M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Sanofi Bangladesh Limited,Unit Price : ৳ 22.07
Indagmet,50 mg+500 mg,Vildagliptin + Metformin Hydrochloride,Pharmasia Limited,Unit Price : ৳ 21.00
Indagmet,50 mg+850 mg,Vildagliptin + Metformin Hydrochloride,Pharmasia Limited,Unit Price : ৳ 22.00
Indamid SR,1.5 mg,Indapamide,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 5.01
Indapa Plus,1.25 mg+4 mg,Indapamide + Perindopril Arginine,Drug International Limited,Unit Price : ৳ 12.05
Indapa Plus,1.25 mg+2 mg,Indapamide + Perindopril Arginine,Drug International Limited,Unit Price : ৳ 6.05
Indapa-SR,1.5 mg,Indapamide,Drug International Limited,Unit Price : ৳ 5.05
Indapril,0.625 mg+2 mg,Indapamide + Perindopril Arginine,Incepta Pharmaceuticals Limited,Unit Price : ৳ 7.00
Indapril,1.25 mg+4 mg,Indapamide + Perindopril Arginine,Incepta Pharmaceuticals Limited,Unit Price : ৳ 12.00
Indelix SR,1.5 mg,Indapamide,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
Indever,10 mg,Propranolol Hydrochloride,ACI Limited,Unit Price : ৳ 0.51
Indever,40 mg,Propranolol Hydrochloride,ACI Limited,Unit Price : ৳ 1.50
Indever SR,40 mg,Propranolol Hydrochloride,ACI Limited,Unit Price : ৳ 0.92
Indever SR,80 mg,Propranolol Hydrochloride,ACI Limited,Unit Price : ৳ 1.54
Indica,75 mcg,Indacaterol Maleate,Acme Laboratories Limited,Price not available
Indica-G,110 mcg+50 mcg,Indacaterol + Glycopyrronium,Acme Laboratories Limited,Unit Price : ৳ 35.00
Indimide SR,1.5 mg,Indapamide,Healthcare Pharmacuticals Limited,Unit Price : ৳ 6.00
Indo-A,100 mg,Indomethacin,Acme Laboratories Limited,Unit Price : ৳ 7.05
Indo-Fila,100 mg,Diethylcarbamazine Citrate,Indo Bangla Pharmaceutical,Price not available
Indocal,500 mg,Calcium Carbonate,Indo Bangla Pharmaceutical,Unit Price : ৳ 2.00
Indocef,500 mg,Cephradine,Indo Bangla Pharmaceutical,Price not available
Indocef,125 mg/5 ml,Cephradine,Indo Bangla Pharmaceutical,Price not available
Indocef,125 mg/1.25 ml,Cephradine,Indo Bangla Pharmaceutical,Price not available
Indocef DS,250 mg/5 ml,Cephradine,Indo Bangla Pharmaceutical,Price not available
Indofex,25 mg,Indomethacin,Jalalabad Pharmaceuticals Ltd.,Price not available
Indoflam,100 mg/5 ml,Ibuprofen,Indo Bangla Pharmaceutical,100 ml bottle : ৳ 18.00
Indoflam,400 mg,Ibuprofen,Indo Bangla Pharmaceutical,Unit Price : ৳ 1.43
Indomet,25 mg,Indomethacin,Opsonin Pharma Limited,Unit Price : ৳ 1.00
Indomet,100 mg,Indomethacin,Opsonin Pharma Limited,Unit Price : ৳ 7.06
Indomet SR,75 mg,Indomethacin,Opsonin Pharma Limited,Unit Price : ৳ 4.01
Indomethacin,25 mg,Indomethacin,Essential Drugs Company Ltd.,Unit Price : ৳ 0.90
Indomethacin,25 mg,Indomethacin,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 0.50
Indomin,25 mg,Indomethacin,Reliance Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
Indomin,25 mg,Indomethacin,Elixir Pharmaceuticals Ltd.,Unit Price : ৳ 0.60
Indomol Plus,500 mg+65 mg,Paracetamol + Caffeine,Indo Bangla Pharmaceutical,Price not available
Indophyllin,100 mg,Aminophylline,Indo Bangla Pharmaceutical,Unit Price : ৳ 0.42
Indoplex,,Vitamin B complex,Indo Bangla Pharmaceutical,100 ml bottle : ৳ 23.00
Indoplex B,,Vitamin B complex,Indo Bangla Pharmaceutical,Unit Price : ৳ 0.40
Indoprox,250 mg,Naproxen Sodium,Indo Bangla Pharmaceutical,Unit Price : ৳ 5.33
Indoprox,500 mg,Naproxen Sodium,Indo Bangla Pharmaceutical,Unit Price : ৳ 7.00
Indor,0.5 mg+10 mg,Fluphenazine + Nortriptyline,Jalalabad Pharmaceuticals Ltd.,Price not available
Indorex,25 mg,Indomethacin,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
Indoseem,25 mg,Indomethacin,Seema Pharmaceuticals Ltd.,Unit Price : ৳ 0.70
Indosin,2 mg/5 ml,Chlorpheniramine Maleate,Indo Bangla Pharmaceutical,Price not available
Indosin,4 mg,Chlorpheniramine Maleate,Indo Bangla Pharmaceutical,Price not available
Indostin R,150 mg,Ranitidine,Indo Bangla Pharmaceutical,Price not available
Indotetra,500 mg,Tetracycline Hydrochloride (Oral),Indo Bangla Pharmaceutical,Unit Price : ৳ 1.50
Indotetra,250 mg,Tetracycline Hydrochloride (Oral),Indo Bangla Pharmaceutical,Unit Price : ৳ 0.80
Indox,100 mg,Doxycycline,Indo Bangla Pharmaceutical,Unit Price : ৳ 2.00
Indoxyl,25 mg,Indomethacin,Jayson Pharma Ltd.,Unit Price : ৳ 0.63
Indozith,250 mg,Azithromycin,Indo Bangla Pharmaceutical,Price not available
Indozith,500 mg,Azithromycin,Indo Bangla Pharmaceutical,Price not available
Indozith,500 mg,Azithromycin,Indo Bangla Pharmaceutical,Price not available
Inducin,10 IU/ml,Oxytocin,Incepta Pharmaceuticals Limited,1 ml ampoule : ৳ 25.00
Indula,200 mcg,Misoprostol,Renata Limited,Unit Price : ৳ 15.04
Induric Plus,0.625 mg+2 mg,Indapamide + Perindopril Arginine,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Infa-3,200 mg,Cefixime Trihydrate,Novelta Bestway Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
Infa-3,400 mg,Cefixime Trihydrate,Novelta Bestway Pharmaceuticals Ltd.,Unit Price : ৳ 50.00
Infa-3,100 mg/5 ml,Cefixime Trihydrate,Novelta Bestway Pharmaceuticals Ltd.,50 ml bottle : ৳ 195.00
Infaclav,250 mg+62.5 mg,Cefuroxime Axetil + Clavulanic Acid,Novelta Bestway Pharmaceuticals Ltd.,Price not available
Infaclav,500 mg+125 mg,Cefuroxime Axetil + Clavulanic Acid,Novelta Bestway Pharmaceuticals Ltd.,Price not available
Infaclav,(125 mg+31.25 mg)/5 ml,Cefuroxime Axetil + Clavulanic Acid,Novelta Bestway Pharmaceuticals Ltd.,Price not available
Infanil,250 mg,Cefuroxime Axetil,Novelta Bestway Pharmaceuticals Ltd.,Unit Price : ৳ 25.08
Infanil,500 mg,Cefuroxime Axetil,Novelta Bestway Pharmaceuticals Ltd.,Price not available
Infanil,125 mg/5 ml,Cefuroxime Axetil,Novelta Bestway Pharmaceuticals Ltd.,70 ml bottle : ৳ 198.60
Infanrix Hexa,0.5 ml,DPT + Poliomyelitis + Haemophilus Influenzae Type B (HIB) + Hepatitis B Conjugate Vaccines,GlaxoSmithKline,0.5 ml prefilled syringe : ৳ 1,737.00
Infesen,400 mg,Albendazole,Drug International Limited,Unit Price : ৳ 3.50
Infesen,200 mg/5 ml,Albendazole,Drug International Limited,10 ml bottle : ৳ 15.00
Inflacin,25 mg,Indomethacin,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 0.60
Infladex,0.1%,Dexamethasone Sodium Phosphate (E/E),Biopharma Laboratories Ltd.,5 ml drop : ৳ 69.67
Infladex-TN,0.1%+0.3%,Dexamethasone + Tobramycin,Biopharma Laboratories Ltd.,5 ml drop : ৳ 149.29
Inflagen,0.1%+0.3%,Fluorometholone + Gentamicin,Asiatic Laboratories Ltd.,5 ml drop : ৳ 130.00
Inflagic,5 mg,Prednisolone (Oral / Injection),Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.72
Inflagic,20 mg,Prednisolone (Oral / Injection),Square Pharmaceuticals Ltd.,Unit Price : ৳ 6.27
Inflam,200 mg,Ibuprofen,Sanofi Bangladesh Limited,Unit Price : ৳ 0.88
Inflam,400 mg,Ibuprofen,Sanofi Bangladesh Limited,Unit Price : ৳ 1.43
Inflam,100 mg/5 ml,Ibuprofen,Sanofi Bangladesh Limited,100 ml bottle : ৳ 33.80
Inflam-D,200 mg,Dexibuprofen,Sanofi Bangladesh Limited,Unit Price : ৳ 3.02
Inflam-D,300 mg,Dexibuprofen,Sanofi Bangladesh Limited,Unit Price : ৳ 4.03
Inflam-D,400 mg,Dexibuprofen,Sanofi Bangladesh Limited,Unit Price : ৳ 5.04
Inflavis,0.1%,Dexamethasone Sodium Phosphate (E/E),Beximco Pharmaceuticals Ltd.,5 ml drop : ৳ 70.00
Inflect,375 mg+20 mg,Naproxen Sodium + Esomeprazole,Kemiko Pharmaceuticals Ltd.,Unit Price : ৳ 8.02
Inflect,500 mg+20 mg,Naproxen Sodium + Esomeprazole,Kemiko Pharmaceuticals Ltd.,Unit Price : ৳ 10.03
Influ,100 mg,Amantadine Hydrochloride,Peoples Pharma Ltd.,Unit Price : ৳ 3.00
Influ,50 mg / 5 ml,Amantadine Hydrochloride,Peoples Pharma Ltd.,100 ml bot : ৳ 35.17
Influvax,0.5 ml/vial,Inactivated Influenza Vaccine,Incepta Pharmaceuticals Limited,0.5 ml prefilled syringe : ৳ 685.64
Info-500,500 mg,Metformin Hydrochloride,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
Info-850,850 mg,Metformin Hydrochloride,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Informet,500 mg,Metformin Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
Informet,850 mg,Metformin Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 4.50
Informet LA,500 mg,Metformin Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 5.01
Informet LA,750 mg,Metformin Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Informet LA,1000 mg,Metformin Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Infovir,10 mg,Adefovir Dipivoxil,Incepta Pharmaceuticals Limited,Unit Price : ৳ 35.00
Infud,250 mg,Terbinafine Hydrochloride,General Pharmaceuticals Ltd.,Unit Price : ৳ 40.27
Infud,1%,Terbinafine Hydrochloride,General Pharmaceuticals Ltd.,5 gm tube : ৳ 50.18
Infudex,5% w/v,Dextrose,Square Pharmaceuticals Ltd.,500 ml bag : ৳ 71.30
Infudex,10% w/v,Dextrose,Square Pharmaceuticals Ltd.,500 ml bag : ৳ 78.20
Infusol,5% w/v,Dextrose,Beacon Pharmaceuticals Ltd.,500 ml bottle : ৳ 125.38
Infusol Plus,0.9% + 5%,Sodium Chloride + Dextrose,Beacon Pharmaceuticals Ltd.,500 ml bottle : ৳ 126.00
Ingovax ACWY,50 mcg/0.5 ml,Meningococcal Polysaccharide ACWY Vaccine,Incepta Pharmaceuticals Limited,0.5 ml vial : ৳ 979.48
Inhibita,20 mg,Omeprazole,Delta Pharma Limited,Unit Price : ৳ 2.90
Inhibita,40 mg,Omeprazole,Delta Pharma Limited,Unit Price : ৳ 5.00
Initer,2000 IU/0.5 ml,Epoetin Alfa (Recombinant Human Erythropoietin),Healthcare Pharmacuticals Limited,2000 IU prefilled syringe : ৳ 1,136.74
Initer,3000 IU/0.75 ml,Epoetin Alfa (Recombinant Human Erythropoietin),Healthcare Pharmacuticals Limited,3000 IU prefilled syringe : ৳ 1,477.77
Initer,5000 IU/0.50 ml,Epoetin Alfa (Recombinant Human Erythropoietin),Healthcare Pharmacuticals Limited,5000 IU prefilled syringe : ৳ 2,557.70
Initer,10000 IU/1 ml,Epoetin Alfa (Recombinant Human Erythropoietin),Healthcare Pharmacuticals Limited,10000 IU prefilled syringe : ৳ 5,001.72
Inket,10 mg,Ketorolac Tromethamine (Oral / Injection),Indo Bangla Pharmaceutical,Unit Price : ৳ 10.00
Inofar,20 mg/ml,Iron Sucrose Injection (Elemental Iron),Aristopharma Ltd.,5 ml ampoule : ৳ 300.00
Inofen,200 mg,Ibuprofen,Innova Pharmaceuticals Limited.,Price not available
Inolac,3.35 gm/5 ml,Lactulose,Incepta Pharmaceuticals Limited,100 ml bottle : ৳ 120.00
Inomet,0.1%,Fluorometholone Acetate,Monicopharma Limited,5 ml drop : ৳ 100.00
Inopa,500 mg,Paracetamol,Innova Pharmaceuticals Limited.,Price not available
Inopa,120 mg/5 ml,Paracetamol,Innova Pharmaceuticals Limited.,Price not available
Inopa Extra,500 mg+65 mg,Paracetamol + Caffeine,Innova Pharmaceuticals Limited.,Price not available
Inophos,400 mg,Sevelamer Hydrochloride,Incepta Pharmaceuticals Limited,Unit Price : ৳ 30.00
Inopra,20 mg,Omeprazole,Innova Pharmaceuticals Limited.,Price not available
Inosit,500 mg,Inositol Nicotinate,ACI Limited,Unit Price : ৳ 5.04
Inosit,750 mg,Inositol Nicotinate,ACI Limited,Unit Price : ৳ 7.55
Inospiron,25 mg,Spironolactone,Incepta Pharmaceuticals Limited,Unit Price : ৳ 5.00
Inospiron,100 mg,Spironolactone,Incepta Pharmaceuticals Limited,Unit Price : ৳ 18.00
Inoten,20 mg,Tenoxicam,Opsonin Pharma Limited,Unit Price : ৳ 8.03
Inotrim,400 mg+80 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Innova Pharmaceuticals Limited.,Price not available
Inotrim,800 mg+160 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Innova Pharmaceuticals Limited.,Price not available
Inotrim,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Innova Pharmaceuticals Limited.,Price not available
Inovit E,200 mg,Vitamin E (Alpha Tocopherol Acetate),Incepta Pharmaceuticals Limited,Unit Price : ৳ 4.00
Inovit E,400 mg,Vitamin E (Alpha Tocopherol Acetate),Incepta Pharmaceuticals Limited,Unit Price : ৳ 6.00
Inoxim-3,200 mg,Cefixime Trihydrate,Innova Pharmaceuticals Limited.,Price not available
Inoxim-3,100 mg/5 ml,Cefixime Trihydrate,Innova Pharmaceuticals Limited.,Price not available
Inoxit,0.5 mg+10 mg,Flupentixol + Melitracen,Innova Pharmaceuticals Limited.,Price not available
